show_id,cinema_id,hall_id,hall_capacity,movie_id,genre,age_rating,runtime_min,release_date,show_datetime,format,base_price,sold_tickets,occupancy_rate,city,day_of_week,is_weekend,hour_bucket,month,holiday_flag,release_age_days,lead_time_days,prime_time_flag,runtime_bucket,screening_number_for_movie
show_00016,cinema_msk_01,hall_2,80,movie_horror_01,horror,18+,98,2026-03-05,2026-03-02 18:30:00,2D,489.63,76,0.95,Moscow,0,False,evening,3,False,0,5.0,True,medium,3
show_00548,cinema_spb_01,hall_1,100,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-02 19:15:00,IMAX,609.61,97,0.97,Saint Petersburg,0,False,evening,3,False,1,9.9,True,long,3
show_00013,cinema_msk_01,hall_1,120,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-02 22:00:00,IMAX,693.61,120,1.0,Moscow,0,False,evening,3,False,1,18.9,False,long,5
show_00019,cinema_msk_01,hall_1,120,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-03 11:45:00,2D,389.2,62,0.5167,Moscow,1,False,morning,3,False,2,7.0,False,long,7
show_00022,cinema_msk_01,hall_2,80,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-03 11:45:00,IMAX,609.13,48,0.6,Moscow,1,False,morning,3,False,2,14.8,False,long,9
show_00026,cinema_msk_01,hall_3,60,movie_family_01,animation,6+,92,2026-02-20,2026-03-03 11:45:00,2D,382.29,24,0.4,Moscow,1,False,morning,3,False,11,8.3,False,medium,9
show_00552,cinema_spb_01,hall_1,100,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-03 11:45:00,3D,409.53,40,0.4,Saint Petersburg,1,False,morning,3,False,21,16.4,False,medium,6
show_00555,cinema_spb_01,hall_2,70,movie_family_01,animation,6+,92,2026-02-20,2026-03-03 11:45:00,2D,339.53,19,0.2714,Saint Petersburg,1,False,morning,3,False,11,6.5,False,medium,3
show_00020,cinema_msk_01,hall_1,120,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-03 14:00:00,IMAX,618.57,68,0.5667,Moscow,1,False,day,3,False,2,14.4,False,long,8
show_00556,cinema_spb_01,hall_2,70,movie_family_01,animation,6+,92,2026-02-20,2026-03-03 14:00:00,3D,428.3,29,0.4143,Saint Petersburg,1,False,day,3,False,11,18.6,False,medium,4
show_00023,cinema_msk_01,hall_2,80,movie_family_01,animation,6+,92,2026-02-20,2026-03-03 14:15:00,2D,428.51,33,0.4125,Moscow,1,False,day,3,False,11,12.7,False,medium,8
show_00553,cinema_spb_01,hall_1,100,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-03 14:15:00,2D,340.67,72,0.72,Saint Petersburg,1,False,day,3,False,2,6.3,False,long,4
show_00027,cinema_msk_01,hall_3,60,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-03 15:15:00,IMAX,637.01,34,0.5667,Moscow,1,False,day,3,False,2,4.4,False,long,11
show_00554,cinema_spb_01,hall_1,100,movie_family_01,animation,6+,92,2026-02-20,2026-03-03 18:15:00,IMAX,607.36,76,0.76,Saint Petersburg,1,False,evening,3,False,11,3.5,True,medium,2
show_00557,cinema_spb_01,hall_2,70,movie_horror_01,horror,18+,98,2026-03-05,2026-03-03 18:45:00,2D,415.77,70,1.0,Saint Petersburg,1,False,evening,3,False,0,13.9,True,medium,3
show_00028,cinema_msk_01,hall_3,60,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-03 18:45:00,IMAX,696.77,60,1.0,Moscow,1,False,evening,3,False,2,7.4,True,long,12
show_00021,cinema_msk_01,hall_1,120,movie_family_01,animation,6+,92,2026-02-20,2026-03-03 18:45:00,3D,577.24,93,0.775,Moscow,1,False,evening,3,False,11,17.5,True,medium,7
show_00024,cinema_msk_01,hall_2,80,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-03 18:45:00,2D,483.73,79,0.9875,Moscow,1,False,evening,3,False,2,14.7,True,long,10
show_00558,cinema_spb_01,hall_2,70,movie_horror_01,horror,18+,98,2026-03-05,2026-03-03 21:00:00,3D,509.41,61,0.8714,Saint Petersburg,1,False,evening,3,False,0,17.9,True,medium,4
show_00025,cinema_msk_01,hall_2,80,movie_horror_01,horror,18+,98,2026-03-05,2026-03-03 21:15:00,3D,591.41,58,0.725,Moscow,1,False,evening,3,False,0,11.7,True,medium,4
show_00563,cinema_spb_01,hall_2,70,movie_horror_01,horror,18+,98,2026-03-05,2026-03-04 10:00:00,IMAX,531.64,30,0.4286,Saint Petersburg,2,False,morning,3,False,0,9.5,False,medium,6
show_00559,cinema_spb_01,hall_1,100,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-04 10:15:00,3D,398.45,12,0.12,Saint Petersburg,2,False,morning,3,False,22,10.2,False,medium,7
show_00034,cinema_msk_01,hall_3,60,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-04 10:45:00,2D,390.48,26,0.4333,Moscow,2,False,morning,3,False,22,3.1,False,medium,6
show_00032,cinema_msk_01,hall_2,80,movie_family_01,animation,6+,92,2026-02-20,2026-03-04 11:00:00,3D,470.89,21,0.2625,Moscow,2,False,morning,3,False,12,5.1,False,medium,10
show_00029,cinema_msk_01,hall_1,120,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-04 11:15:00,2D,398.29,22,0.1833,Moscow,2,False,morning,3,False,22,7.8,False,medium,4
show_00030,cinema_msk_01,hall_1,120,movie_horror_01,horror,18+,98,2026-03-05,2026-03-04 14:00:00,IMAX,647.33,63,0.525,Moscow,2,False,day,3,False,0,21.0,False,medium,5
show_00033,cinema_msk_01,hall_2,80,movie_family_01,animation,6+,92,2026-02-20,2026-03-04 14:30:00,IMAX,646.21,33,0.4125,Moscow,2,False,day,3,False,12,14.4,False,medium,11
show_00564,cinema_spb_01,hall_2,70,movie_horror_01,horror,18+,98,2026-03-05,2026-03-04 14:45:00,2D,356.38,46,0.6571,Saint Petersburg,2,False,day,3,False,0,16.8,False,medium,7
show_00560,cinema_spb_01,hall_1,100,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-04 15:30:00,IMAX,534.53,61,0.61,Saint Petersburg,2,False,day,3,False,3,12.3,False,long,5
show_00035,cinema_msk_01,hall_3,60,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-04 15:45:00,2D,433.3,43,0.7167,Moscow,2,False,day,3,False,3,4.4,False,long,13
show_00031,cinema_msk_01,hall_1,120,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-04 18:15:00,3D,584.47,112,0.9333,Moscow,2,False,evening,3,False,22,5.8,True,medium,5
show_00561,cinema_spb_01,hall_1,100,movie_horror_01,horror,18+,98,2026-03-05,2026-03-04 18:45:00,3D,508.51,77,0.77,Saint Petersburg,2,False,evening,3,False,0,11.1,True,medium,5
show_00562,cinema_spb_01,hall_1,100,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-04 21:45:00,3D,486.56,100,1.0,Saint Petersburg,2,False,evening,3,False,3,8.8,True,long,6
show_00565,cinema_spb_01,hall_1,100,movie_family_01,animation,6+,92,2026-02-20,2026-03-05 10:15:00,IMAX,538.44,22,0.22,Saint Petersburg,3,False,morning,3,False,13,3.9,False,medium,5
show_00568,cinema_spb_01,hall_2,70,movie_family_01,animation,6+,92,2026-02-20,2026-03-05 10:30:00,2D,305.81,15,0.2143,Saint Petersburg,3,False,morning,3,False,13,6.3,False,medium,7
show_00039,cinema_msk_01,hall_2,80,movie_horror_01,horror,18+,98,2026-03-05,2026-03-05 11:00:00,2D,412.82,44,0.55,Moscow,3,False,morning,3,False,0,6.6,False,medium,7
show_00036,cinema_msk_01,hall_1,120,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-05 11:15:00,3D,487.28,56,0.4667,Moscow,3,False,morning,3,False,4,9.6,False,long,14
show_00041,cinema_msk_01,hall_3,60,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-05 11:45:00,2D,384.34,24,0.4,Moscow,3,False,morning,3,False,23,5.1,False,medium,7
show_00040,cinema_msk_01,hall_2,80,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-05 14:15:00,IMAX,648.68,39,0.4875,Moscow,3,False,day,3,False,4,6.5,False,long,16
show_00569,cinema_spb_01,hall_2,70,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-05 14:30:00,2D,356.88,24,0.3429,Saint Petersburg,3,False,day,3,False,23,3.9,False,medium,8
show_00037,cinema_msk_01,hall_1,120,movie_horror_01,horror,18+,98,2026-03-05,2026-03-05 14:30:00,IMAX,616.5,77,0.6417,Moscow,3,False,day,3,False,0,16.5,False,medium,6
show_00566,cinema_spb_01,hall_1,100,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-05 15:15:00,2D,354.32,61,0.61,Saint Petersburg,3,False,day,3,False,4,20.3,False,long,7
show_00042,cinema_msk_01,hall_3,60,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-05 15:30:00,3D,513.06,25,0.4167,Moscow,3,False,day,3,False,23,13.9,False,medium,8
show_00038,cinema_msk_01,hall_1,120,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-05 18:45:00,2D,511.49,120,1.0,Moscow,3,False,evening,3,False,4,16.3,True,long,15
show_00043,cinema_msk_01,hall_3,60,movie_horror_01,horror,18+,98,2026-03-05,2026-03-05 19:00:00,2D,517.61,60,1.0,Moscow,3,False,evening,3,False,0,12.4,True,medium,8
show_00567,cinema_spb_01,hall_1,100,movie_family_01,animation,6+,92,2026-02-20,2026-03-05 19:15:00,IMAX,624.05,75,0.75,Saint Petersburg,3,False,evening,3,False,13,14.9,True,medium,6
show_00051,cinema_msk_01,hall_3,60,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-06 10:45:00,3D,493.22,21,0.35,Moscow,4,False,morning,3,False,24,14.0,False,medium,10
show_00570,cinema_spb_01,hall_1,100,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-06 11:30:00,2D,332.81,25,0.25,Saint Petersburg,4,False,morning,3,False,5,16.8,False,long,8
show_00573,cinema_spb_01,hall_2,70,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-06 11:30:00,2D,319.91,16,0.2286,Saint Petersburg,4,False,morning,3,False,24,14.1,False,medium,10
show_00047,cinema_msk_01,hall_2,80,movie_family_01,animation,6+,92,2026-02-20,2026-03-06 11:45:00,IMAX,593.41,27,0.3375,Moscow,4,False,morning,3,False,14,11.5,False,medium,12
show_00044,cinema_msk_01,hall_1,120,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-06 11:45:00,IMAX,584.99,70,0.5833,Moscow,4,False,morning,3,False,5,19.6,False,long,17
show_00574,cinema_spb_01,hall_2,70,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-06 14:15:00,2D,352.42,22,0.3143,Saint Petersburg,4,False,day,3,False,24,3.0,False,medium,11
show_00048,cinema_msk_01,hall_2,80,movie_family_01,animation,6+,92,2026-02-20,2026-03-06 14:30:00,2D,428.22,40,0.5,Moscow,4,False,day,3,False,14,5.7,False,medium,13
show_00571,cinema_spb_01,hall_1,100,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-06 15:00:00,3D,431.08,37,0.37,Saint Petersburg,4,False,day,3,False,24,5.4,False,medium,9
show_00052,cinema_msk_01,hall_3,60,movie_horror_01,horror,18+,98,2026-03-05,2026-03-06 15:15:00,3D,520.63,26,0.4333,Moscow,4,False,day,3,False,1,7.7,False,medium,11
show_00045,cinema_msk_01,hall_1,120,movie_horror_01,horror,18+,98,2026-03-05,2026-03-06 15:30:00,3D,506.82,61,0.5083,Moscow,4,False,day,3,False,1,10.2,False,medium,9
show_00575,cinema_spb_01,hall_2,70,movie_family_01,animation,6+,92,2026-02-20,2026-03-06 18:00:00,IMAX,620.27,56,0.8,Saint Petersburg,4,False,evening,3,False,14,8.1,True,medium,8
show_00572,cinema_spb_01,hall_1,100,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-06 18:15:00,2D,428.27,100,1.0,Saint Petersburg,4,False,evening,3,False,5,13.3,True,long,9
show_00049,cinema_msk_01,hall_2,80,movie_horror_01,horror,18+,98,2026-03-05,2026-03-06 18:45:00,3D,564.26,80,1.0,Moscow,4,False,evening,3,False,1,7.4,True,medium,10
show_00053,cinema_msk_01,hall_3,60,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-06 19:15:00,3D,572.79,42,0.7,Moscow,4,False,evening,3,False,24,4.4,True,medium,11
show_00046,cinema_msk_01,hall_1,120,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-06 19:15:00,3D,586.19,86,0.7167,Moscow,4,False,evening,3,False,24,12.9,True,medium,9
show_00054,cinema_msk_01,hall_3,60,movie_family_01,animation,6+,92,2026-02-20,2026-03-06 21:15:00,2D,496.59,44,0.7333,Moscow,4,False,evening,3,False,14,9.9,True,medium,15
show_00576,cinema_spb_01,hall_2,70,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-06 22:00:00,IMAX,638.4,53,0.7571,Saint Petersburg,4,False,evening,3,False,5,9.0,False,long,10
show_00050,cinema_msk_01,hall_2,80,movie_family_01,animation,6+,92,2026-02-20,2026-03-06 22:15:00,IMAX,713.93,44,0.55,Moscow,4,False,evening,3,False,14,12.3,False,medium,14
show_00577,cinema_spb_01,hall_1,100,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-07 10:30:00,IMAX,505.43,37,0.37,Saint Petersburg,5,True,morning,3,False,25,11.6,False,medium,12
show_00062,cinema_msk_01,hall_3,60,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-07 10:45:00,3D,464.58,29,0.4833,Moscow,5,True,morning,3,False,25,6.0,False,medium,13
show_00058,cinema_msk_01,hall_2,80,movie_family_01,animation,6+,92,2026-02-20,2026-03-07 10:45:00,IMAX,606.52,49,0.6125,Moscow,5,True,morning,3,False,15,12.6,False,medium,16
show_00580,cinema_spb_01,hall_2,70,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-07 11:15:00,3D,396.55,42,0.6,Saint Petersburg,5,True,morning,3,False,6,15.7,False,long,12
show_00055,cinema_msk_01,hall_1,120,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-07 11:45:00,2D,417.84,73,0.6083,Moscow,5,True,morning,3,False,6,18.0,False,long,18
show_00063,cinema_msk_01,hall_3,60,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-07 14:30:00,IMAX,648.33,50,0.8333,Moscow,5,True,day,3,False,6,3.5,True,long,19
show_00056,cinema_msk_01,hall_1,120,movie_horror_01,horror,18+,98,2026-03-05,2026-03-07 14:45:00,2D,445.67,93,0.775,Moscow,5,True,day,3,False,2,20.0,True,medium,12
show_00059,cinema_msk_01,hall_2,80,movie_family_01,animation,6+,92,2026-02-20,2026-03-07 14:45:00,3D,508.19,54,0.675,Moscow,5,True,day,3,False,15,6.3,True,medium,17
show_00578,cinema_spb_01,hall_1,100,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-07 14:45:00,3D,443.4,57,0.57,Saint Petersburg,5,True,day,3,False,25,17.1,True,medium,13
show_00581,cinema_spb_01,hall_2,70,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-07 15:15:00,3D,417.0,39,0.5571,Saint Petersburg,5,True,day,3,False,25,17.9,True,medium,14
show_00582,cinema_spb_01,hall_2,70,movie_family_01,animation,6+,92,2026-02-20,2026-03-07 19:00:00,2D,420.0,52,0.7429,Saint Petersburg,5,True,evening,3,False,15,11.0,True,medium,9
show_00057,cinema_msk_01,hall_1,120,movie_horror_01,horror,18+,98,2026-03-05,2026-03-07 19:15:00,2D,506.75,117,0.975,Moscow,5,True,evening,3,False,2,7.9,True,medium,13
show_00579,cinema_spb_01,hall_1,100,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-07 19:30:00,2D,421.37,94,0.94,Saint Petersburg,5,True,evening,3,False,6,13.4,True,long,11
show_00060,cinema_msk_01,hall_2,80,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-07 19:45:00,3D,591.25,65,0.8125,Moscow,5,True,evening,3,False,25,7.5,True,medium,12
show_00061,cinema_msk_01,hall_2,80,movie_family_01,animation,6+,92,2026-02-20,2026-03-07 21:00:00,2D,498.94,75,0.9375,Moscow,5,True,evening,3,False,15,18.1,True,medium,18
show_00064,cinema_msk_01,hall_1,120,movie_family_01,animation,6+,92,2026-02-20,2026-03-08 10:00:00,2D,412.22,47,0.3917,Moscow,6,True,morning,3,False,16,15.5,False,medium,19
show_00070,cinema_msk_01,hall_3,60,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-08 10:15:00,2D,407.62,31,0.5167,Moscow,6,True,morning,3,False,7,16.0,False,long,20
show_00586,cinema_spb_01,hall_2,70,movie_horror_01,horror,18+,98,2026-03-05,2026-03-08 11:30:00,IMAX,500.61,32,0.4571,Saint Petersburg,6,True,morning,3,False,3,5.1,False,medium,8
show_00583,cinema_spb_01,hall_1,100,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-08 11:45:00,3D,400.89,36,0.36,Saint Petersburg,6,True,morning,3,False,26,5.6,False,medium,15
show_00068,cinema_msk_01,hall_2,80,movie_family_01,animation,6+,92,2026-02-20,2026-03-08 11:45:00,3D,479.77,41,0.5125,Moscow,6,True,morning,3,False,16,13.3,False,medium,20
show_00587,cinema_spb_01,hall_2,70,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-08 14:15:00,IMAX,541.33,32,0.4571,Saint Petersburg,6,True,day,3,False,26,8.7,True,medium,16
show_00584,cinema_spb_01,hall_1,100,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-08 14:30:00,IMAX,565.57,80,0.8,Saint Petersburg,6,True,day,3,False,7,18.3,True,long,13
show_00065,cinema_msk_01,hall_1,120,movie_horror_01,horror,18+,98,2026-03-05,2026-03-08 14:30:00,IMAX,643.98,99,0.825,Moscow,6,True,day,3,False,3,9.7,True,medium,14
show_00069,cinema_msk_01,hall_2,80,movie_horror_01,horror,18+,98,2026-03-05,2026-03-08 15:15:00,2D,433.85,62,0.775,Moscow,6,True,day,3,False,3,9.4,True,medium,17
show_00071,cinema_msk_01,hall_3,60,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-08 15:45:00,2D,436.56,46,0.7667,Moscow,6,True,day,3,False,7,8.3,True,long,21
show_00588,cinema_spb_01,hall_2,70,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-08 18:15:00,3D,485.2,62,0.8857,Saint Petersburg,6,True,evening,3,False,7,14.0,True,long,15
show_00585,cinema_spb_01,hall_1,100,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-08 18:30:00,IMAX,608.02,95,0.95,Saint Petersburg,6,True,evening,3,False,7,16.7,True,long,14
show_00066,cinema_msk_01,hall_1,120,movie_horror_01,horror,18+,98,2026-03-05,2026-03-08 19:00:00,3D,577.42,120,1.0,Moscow,6,True,evening,3,False,3,14.4,True,medium,15
show_00072,cinema_msk_01,hall_3,60,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-08 19:45:00,3D,578.15,53,0.8833,Moscow,6,True,evening,3,False,26,20.9,True,medium,14
show_00067,cinema_msk_01,hall_1,120,movie_horror_01,horror,18+,98,2026-03-05,2026-03-08 22:45:00,3D,569.82,107,0.8917,Moscow,6,True,evening,3,False,3,17.9,False,medium,16
show_00589,cinema_spb_01,hall_1,100,movie_horror_01,horror,18+,98,2026-03-05,2026-03-09 10:00:00,2D,335.65,35,0.35,Saint Petersburg,0,False,morning,3,False,4,4.6,False,medium,9
show_00076,cinema_msk_01,hall_2,80,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-09 10:00:00,3D,487.46,24,0.3,Moscow,0,False,morning,3,False,27,11.6,False,medium,15
show_00073,cinema_msk_01,hall_1,120,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-09 11:15:00,IMAX,610.49,35,0.2917,Moscow,0,False,morning,3,False,8,6.5,False,long,22
show_00593,cinema_spb_01,hall_2,70,movie_horror_01,horror,18+,98,2026-03-05,2026-03-09 11:30:00,3D,398.45,28,0.4,Saint Petersburg,0,False,morning,3,False,4,3.5,False,medium,10
show_00080,cinema_msk_01,hall_3,60,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-09 11:45:00,2D,398.16,24,0.4,Moscow,0,False,morning,3,False,27,7.2,False,medium,18
show_00077,cinema_msk_01,hall_2,80,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-09 14:15:00,2D,419.03,38,0.475,Moscow,0,False,day,3,False,27,20.9,False,medium,16
show_00074,cinema_msk_01,hall_1,120,movie_family_01,animation,6+,92,2026-02-20,2026-03-09 14:15:00,IMAX,614.02,55,0.4583,Moscow,0,False,day,3,False,17,11.7,False,medium,21
show_00594,cinema_spb_01,hall_2,70,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-09 14:30:00,IMAX,558.57,25,0.3571,Saint Petersburg,0,False,day,3,False,27,13.3,False,medium,18
show_00081,cinema_msk_01,hall_3,60,movie_family_01,animation,6+,92,2026-02-20,2026-03-09 14:30:00,3D,500.63,24,0.4,Moscow,0,False,day,3,False,17,5.1,False,medium,23
show_00590,cinema_spb_01,hall_1,100,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-09 15:30:00,3D,431.34,44,0.44,Saint Petersburg,0,False,day,3,False,27,17.7,False,medium,17
show_00082,cinema_msk_01,hall_3,60,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-09 18:00:00,2D,516.85,55,0.9167,Moscow,0,False,evening,3,False,8,17.3,True,long,23
show_00595,cinema_spb_01,hall_2,70,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-09 18:30:00,3D,504.83,54,0.7714,Saint Petersburg,0,False,evening,3,False,8,12.6,True,long,17
show_00075,cinema_msk_01,hall_1,120,movie_family_01,animation,6+,92,2026-02-20,2026-03-09 18:30:00,3D,565.05,99,0.825,Moscow,0,False,evening,3,False,17,6.2,True,medium,22
show_00591,cinema_spb_01,hall_1,100,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-09 19:15:00,IMAX,628.41,78,0.78,Saint Petersburg,0,False,evening,3,False,8,11.4,True,long,16
